product,zone,best_model,current_price_mean,optimal_price,price_delta_pct,optimal_qty,max_objective,objective_label,elasticity,unit_cost
hel_choc,Centro,LightGBM,26.56,31.59,18.9,1216.7,25051.58,Profit,0.0,11.0
hel_choc,Norte,LightGBM,26.63,31.59,18.6,1453.1,29919.93,Profit,0.0,11.0
hel_choc,Sur,LightGBM,26.6,31.59,18.8,1653.5,34047.35,Profit,0.0,11.0
hel_vain,Centro,LinearRegression,24.63,23.57,-4.3,1198.9,25857.63,Profit,-1.092,2.0
hel_vain,Norte,LinearRegression,24.52,26.03,6.2,1337.5,32145.89,Profit,-1.081,2.0
hel_vain,Sur,LinearRegression,24.6,27.82,13.1,1434.7,37048.45,Profit,-1.077,2.0
malt_vain,Centro,LinearRegression,42.24,48.1,13.9,702.3,22542.89,Profit,-1.499,16.0
malt_vain,Norte,LinearRegression,42.28,50.9,20.4,793.9,27705.4,Profit,-1.403,16.0
malt_vain,Sur,LinearRegression,42.29,50.9,20.4,904.9,31580.37,Profit,-1.231,16.0
pal_fruta,Centro,LightGBM,14.7,17.54,19.3,1952.3,23513.56,Profit,0.0,5.5
pal_fruta,Norte,LightGBM,14.74,17.54,19.0,2455.5,29574.07,Profit,0.0,5.5
pal_fruta,Sur,LightGBM,14.75,17.54,18.9,2666.2,32112.45,Profit,0.0,5.5
past_alm,Centro,LinearRegression,53.03,51.13,-3.6,682.8,30132.87,Profit,-1.159,7.0
past_alm,Norte,LinearRegression,53.26,53.52,0.5,719.1,33452.65,Profit,-1.152,7.0
past_alm,Sur,LinearRegression,53.13,54.83,3.2,741.4,35456.54,Profit,-1.144,7.0
tarro_500,Centro,LightGBM,66.71,80.3,20.4,588.7,30793.11,Profit,0.0,28.0
tarro_500,Norte,LightGBM,67.13,80.3,19.6,662.6,34659.27,Profit,0.0,28.0
tarro_500,Sur,LightGBM,66.8,80.3,20.2,699.3,36574.25,Profit,0.0,28.0
